w1,w2,space_mean,space_std,space_max,space_min,time_mean,time_std,time_max,time_min,num_mean,num_std,num_max,num_min,tops_mean,fronts_mean,sides_mean,backs_mean,average_efficiency,is_pareto
0.000000,1.000000,0.794789,0.053971,0.906000,0.514000,33.971000,8.533004,67.000000,12.000000,29.759000,5.292345,48.000000,15.000000,0.518340,0.263924,0.199401,0.018336,1.092379,1
0.020408,0.979592,0.797233,0.050888,0.911000,0.555000,34.564000,8.473246,67.000000,13.000000,30.102000,5.163293,46.000000,18.000000,0.518800,0.260989,0.201260,0.018951,1.098253,0
0.040816,0.959184,0.795579,0.051426,0.912000,0.531000,34.222000,8.653596,66.000000,11.000000,30.013000,5.205077,46.000000,15.000000,0.517804,0.262656,0.200451,0.019089,1.095709,1
0.061224,0.938776,0.794244,0.056429,0.939000,0.368000,34.169000,8.489902,62.000000,10.000000,29.795000,5.437001,49.000000,12.000000,0.518181,0.263038,0.199806,0.018975,1.092194,0
0.081633,0.918367,0.799901,0.050975,0.918000,0.473000,34.467000,8.518504,66.000000,9.000000,30.005000,5.362367,48.000000,15.000000,0.517744,0.263822,0.199496,0.018938,1.099951,1
0.102041,0.897959,0.800108,0.055252,0.929000,0.442000,34.669000,8.495142,64.000000,12.000000,29.992000,5.305274,47.000000,16.000000,0.517489,0.263857,0.199829,0.018825,1.100028,0
0.122449,0.877551,0.801181,0.048568,0.916000,0.536000,34.501000,8.346137,70.000000,13.000000,30.179000,5.094601,47.000000,15.000000,0.517394,0.263844,0.200037,0.018725,1.102971,1
0.142857,0.857143,0.803425,0.048504,0.945000,0.611000,34.636000,8.576334,64.000000,10.000000,29.992000,5.278630,48.000000,11.000000,0.517339,0.263772,0.200208,0.018681,1.103345,1
0.163265,0.836735,0.805466,0.050766,0.937000,0.512000,35.140000,8.558528,68.000000,12.000000,30.389000,5.390703,47.000000,15.000000,0.517044,0.264054,0.200118,0.018784,1.109356,0
0.183673,0.816326,0.807296,0.049568,0.929000,0.586000,35.004000,8.653553,66.000000,11.000000,30.185000,5.286471,50.000000,14.000000,0.517144,0.263762,0.200187,0.018906,1.109146,1
0.204082,0.795918,0.808782,0.048970,0.933000,0.619000,35.206000,8.588688,64.000000,12.000000,30.431000,5.386951,50.000000,17.000000,0.517392,0.263864,0.199846,0.018897,1.113092,1
0.224490,0.775510,0.809310,0.048519,0.932000,0.607000,35.972000,8.689949,70.000000,14.000000,30.782000,5.394486,49.000000,18.000000,0.516938,0.263988,0.200025,0.019049,1.117130,0
0.244898,0.755102,0.813273,0.048675,0.936000,0.624000,35.689000,8.939814,67.000000,13.000000,30.735000,5.183703,47.000000,17.000000,0.516840,0.264273,0.199788,0.019099,1.120623,1
0.265306,0.734694,0.812620,0.049171,0.927000,0.554000,35.899000,8.804476,64.000000,12.000000,30.770000,5.410092,50.000000,14.000000,0.516749,0.264341,0.199755,0.019155,1.120320,0
0.285714,0.714286,0.816346,0.045771,0.922000,0.553000,35.906000,8.478630,64.000000,13.000000,30.671000,5.071367,49.000000,18.000000,0.516653,0.264491,0.199718,0.019138,1.123056,0
0.306122,0.693878,0.816711,0.047372,0.935000,0.618000,35.724000,8.463913,62.000000,13.000000,30.760000,5.206765,51.000000,16.000000,0.516405,0.264802,0.199607,0.019186,1.124311,1
0.326531,0.673469,0.820118,0.044738,0.927000,0.654000,36.268000,8.283850,61.000000,15.000000,30.804000,4.883808,46.000000,16.000000,0.516196,0.264916,0.199682,0.019207,1.128158,1
0.346939,0.653061,0.822043,0.046019,0.929000,0.636000,36.727000,8.591535,64.000000,12.000000,31.160000,5.395405,51.000000,17.000000,0.516222,0.264812,0.199648,0.019317,1.133643,1
0.367347,0.632653,0.821680,0.045885,0.938000,0.628000,37.264000,8.916967,69.000000,13.000000,31.249000,5.314602,51.000000,17.000000,0.515932,0.264965,0.199690,0.019413,1.134170,0
0.387755,0.612245,0.824375,0.046519,0.944000,0.553000,37.395000,8.824567,75.000000,13.000000,31.247000,5.224557,47.000000,15.000000,0.515439,0.265098,0.199889,0.019574,1.136845,1
